LineCode,StationCode,CompanyName,LineName,StationName,Note,CompanyName_en,LineName_en,StationName_en
5d1,50a1,"広島電鉄",,"舟入町",,"Hiroshima Electric Railway Co., Ltd.",,"Funairichōeki"
5d1,50a3,"広島電鉄",,"舟入本町",,"Hiroshima Electric Railway Co., Ltd.",,Funairihonmachi
5d1,50a5,"広島電鉄",,"舟入幸町",,"Hiroshima Electric Railway Co., Ltd.",,"Funairisaiwaichō"
5d1,50a7,"広島電鉄",,"舟入川口町",,"Hiroshima Electric Railway Co., Ltd.",,"Funairikawaguchichō"
5d1,50a9,"広島電鉄",,"舟入南町",,"Hiroshima Electric Railway Co., Ltd.",,Funairiminamimachi
5d1,50aa,"広島電鉄",,"江波",,"Hiroshima Electric Railway Co., Ltd.",,Enami
5e1,bc02,"岡山電気軌道",,"岡山駅前","東山線","Electrical Okayama track",,"Okayama Station"
5e1,bc04,"岡山電気軌道",,"西川","東山線","Electrical Okayama track",,Nishikawa
5e1,bc06,"岡山電気軌道",,"柳川","東山線","Electrical Okayama track",,Yanagawa
5e1,bc08,"岡山電気軌道",,"城下","東山線","Electrical Okayama track",,Castle
5e1,bc0a,"岡山電気軌道",,"県庁通り","東山線","Electrical Okayama track",,"Street Station County Government"
5e1,bc0c,"岡山電気軌道",,"西大寺町","東山線","Electrical Okayama track",,"Town, Saidaiji"
5e1,bc0e,"岡山電気軌道",,"小橋","東山線","Electrical Okayama track",,Kobashi
5e1,bc10,"岡山電気軌道",,"中納言","東山線","Electrical Okayama track",,"Chūnagon"
5e1,bc12,"岡山電気軌道",,"門田屋敷","東山線","Electrical Okayama track",,Kadotayashiki
5e1,bc14,"岡山電気軌道",,"東山","東山線","Electrical Okayama track",,Higashiyama
5e1,bc18,"岡山電気軌道",,"郵便局前","清輝橋線","Electrical Okayama track",,"Previous station post office"
5e1,bc1a,"岡山電気軌道",,"田町","清輝橋線","Electrical Okayama track",,Tamachi
5e1,bc1c,"岡山電気軌道",,"新西大寺町筋","清輝橋線","Electrical Okayama track",,"The new station Saidaiji town muscle"
5e1,bc1e,"岡山電気軌道",,"大雲寺前","清輝橋線","Electrical Okayama track",,Daiunjimae
5e1,bc1f,"岡山電気軌道",,"東田中町","清輝橋線","Electrical Okayama track",,"Higashida Naka"
5e1,bc20,"岡山電気軌道",,"清輝橋","清輝橋線","Electrical Okayama track",,Seikibashi
a01,0,"西日本鉄道",,"共通",,"Nishi-Nippon Railroad Co., Ltd.",,Common
a02,0,"西鉄バス北九州株式会社",,"志井車庫","未登録と表示","Kitakyushu Co. Nishitetsu",,"New garage"
a03,0,"西鉄高速バス",,"共通",,"Express bus Nishitetsu",,Common
a04,0,"西鉄バス佐賀",,"共通",,"Nishitetsu Saga",,Common
a05,0,"西鉄バス久留米",,"共通",,"Nishitetsu Kurume",,Common
a06,0,"西鉄バス筑豊",,"共通",,"Nishitetsu Chikuho",,Common
a08,0,"西鉄バス大牟田",,"共通",,"Nishitetsu Omuta",,Common
a09,0,"西鉄バス宗像",,"共通",,"Munakata Nishitetsu",,Common
a0a,0,"西鉄バス二日市",,"共通",,"City Nishitetsu day",,Common
a0b,0,"日田バス",,"共通",,"Hita Bus",,Common
a0d,0,"昭和自動車",,"共通",,"Showa car",,Common
c2a,0,"京成バス",,"共通",,"Keisei Bus",,Common
c2b,0,"小湊鐡道（バス）",,"共通",,"Kominatotetsudō(basu)",,Common
c2c,0,"千葉交通",,"共通",,"Chiba Transportation",,Common
c2d,0,"船橋新京成バス",,"共通",,"New bridge Keisei Bus",,Common
c2e,0,"習志野新京成バス",,"共通",,"New Narashino Keisei Bus",,Common
c2f,0,"松戸新京成バス",,"共通",,"Bus neoplasia Matsudo",,Common
c32,0,"千葉中央バス",,"共通",,"Chiba Chuo Bus",,Common
c37,0,"東京ベイシティ交通",,"共通",,"Traffic in Tokyo Bay",,Common
c39,0,"千葉海浜交通",,"共通",,"Chiba beach traffic",,Common
c3a,0,"千葉内陸バス",,"共通",,"Bus interior Chiba",,Common
c3b,0,"ちばレインボーバス",,"共通",,"Chiba Rainbow Bus",,Common
c3c,0,"ちばフラワーバス",,"共通",,"Chiba Flower Bus",,Common
c3d,0,"ちばグリーンバス",,"共通",,"Chiba Green Bus",,Common
c3e,0,"ちばシティバス",,"共通",,"Chiba City Bus",,Common
c42,0,"平和交通",,"共通",,"Peace Transportation",,Common
c43,0,"あすか交通",,"共通","旧 団地交通","Asuka Traffic",,Common
c44,0,"京成トランジットバス",,"共通",,"Keisei Bus Transit",,Common
c48,0,"市川交通自動車",,"共通",,"Ichikawa transportation vehicles",,Common
c4a,0,"東京都交通局",,"共通",,"Tokyo Metropolitan Bureau of Transportation",,Common
c4b,0,"東急バス",,"共通",,Tokyu,,Common
c4c,0,"京王バス",,"共通",,"Keio Bus",,Common
c4d,0,"関東バス",,"共通",,"Bus Kanto",,Common
c4e,0,"西武バス",,"共通",,Seibu,,Common
c4f,0,"国際興業バス",,"共通",,"Kokusai Kogyo Bus",,Common
c50,0,"小田急バス",,"共通",,Odakyu,,Common
c51,0,"東武バス",,"共通",,"Tobu Bus",,Common
c52,0,"立川バス",,"共通",,"Tachikawa Bus",,Common
c53,0,"西東京バス",,"共通",,"Nishi Tokyo Bus",,Common
c57,0,"フジエクスプレス",,"共通",,"Fuji Express",,Common
c5a,0,"小田急箱根高速バス",,"共通",,"Odakyu Hakone Highway Bus",,Common
c5b,0,"ジェイアールバス関東",,"共通",,"JR Bus Kanto",,Common
c5c,0,"日立自動車交通",,"共通",,"Hitachi Automotive Transportation",,Common
c62,0,"多摩バス",,"共通",,"Tama Bus",,Common
c65,0,"京成タウンバス",,"共通",,"Keisei Town Bus",,Common
c69,0,"京浜急行バス",,"共通",,"Keihin Express Bus",,Common
c6a,0,"横浜市交通局",,"共通",,"Yokohama City Transportation Bureau",,Common
c6b,0,"神奈川中央交通",,"共通",,"Kanagawa Chuo Kotsu Co., Ltd.",,Common
c6c,0,"川崎鶴見臨港バス",,"共通",,"Kawasaki Tsurumi Rinko Bus",,Common
c6d,0,"箱根登山バス",,"共通",,"Hakone Tozan Bus",,Common
c6e,0,"伊豆箱根バス",,"共通",,"Izu Hakone bus",,Common
c6f,0,"江ノ電バス",,"共通",,"Enoden bus",,Common
c70,0,"川崎市バス",,"共通",,"Kawasaki City Bus",,Common
c71,0,"相鉄バス",,"共通",,"Bus Sotetsu",,Common
c72,0,"富士急湘南バス",,"共通",,"Fujikyu Shonan bus",,Common
c74,0,"江ノ電バス藤沢",,"共通",,"Fujisawa bus Enoden",,Common
c7c,0,"相鉄バス",,"共通",,"Bus Sotetsu",,Common
c7e,0,"山梨交通",,"共通",,"Yamanashi traffic",,Common
c80,0,"富士急行",,"共通",,"Fuji Kyuko Co., Ltd.",,Common
c81,0,"富士急山梨バス",,"共通",,"Fujikyu Yamanashi bus",,Common
c82,0,"富士急平和観光バス",,"共通","高速バス","Coach peace Fujikyu",,Common
c83,0,"富士急シティバス",,"共通",,"City Bus Fujikyu",,Common
c84,0,"富士急静岡バス",,"共通",,"Bus Shizuoka Fujikyu",,Common
c85,0,"東京急行電鉄","世田谷","世田谷線共通",,"Tokyu Corporation",Setagaya,"Common Setagaya Line"
c89,0,"京成バスシステム",,"共通",,"Keisei bus system",,Common
d18,15,"しずてつジャストライン",,"新静岡バスセンター","窓口","Just iron line Justline",,"New Bus Center Shizuoka"
d18,2715,"しずてつジャストライン",,"新静岡",,"Just iron line Justline",,"New Shizuoka"
d18,271a,"しずてつジャストライン",,"静岡駅前","美和大谷線","Just iron line Justline",,"Shizuoka Station"
d18,271f,"しずてつジャストライン",,"県庁・静岡市役所葵区役所前",,"Just iron line Justline",,"Shizuoka Prefecture , Aoi Hall Station ward before"
d18,2729,"しずてつジャストライン",,"八千代町",,"Just iron line Justline",,"Yachiyo Town,"
d18,2a62,"しずてつジャストライン",,"市民文化会館入口",,"Just iron line Justline",,"Civic Cultural Hall Entrance"
d18,2ada,"しずてつジャストライン",,"沓ノ谷三丁目",,"Just iron line Justline",,"Shoe -chome station valley"
d18,2b77,"しずてつジャストライン",,"瀬名川西",,"Just iron line Justline",,"Kawanishi Station Sena"
d18,2c60,"しずてつジャストライン",,"静岡IC入口",,"Just iron line Justline",,"Entrance IC Shizuoka"
d18,2c6f,"しずてつジャストライン",,"中島",,"Just iron line Justline",,Nakajima
d18,2d46,"しずてつジャストライン",,"草薙駅前",,"Just iron line Justline",,"Kusanagi Station"
d18,2ebd,"しずてつジャストライン",,"静大前","美和大谷線","Just iron line Justline",,"Omae Station IV"
d18,2f26,"しずてつジャストライン",,"南郵便局ツインメッセ","県立病院高松線","Just iron line Justline",,"Twin Messe South Station post office"
d18,4e66,"しずてつジャストライン",,"興津中町",,"Just iron line Justline",,"Okitsu Nakamachi"
e0d,e0d,"コトデンバス",,"北加賀屋4丁目",,"Kotoden bus",,"Kitakagaya4-chōmeeki"
e16,a2f,"京阪バス",,"頼政塚前",,"Keihan Bus",,Yorimasadzukamaeeki
e16,a33,"京阪バス",,"亀岡駅前",,"Keihan Bus",,"Kameoka Station"
e16,e34,"京阪京都交通",,"本町西","亀岡市コミュニティバス","Transportation Keihan Kyoto",,Honmachinishi
e16,2a1e,"京阪バス",,"JR大住駅",,"Keihan Bus",,"Osumi Station Station JR"
e16,3204,"京都交通",,"星の坂(1)番","降車専用停留所","Kyoto Transportation",,"Slope of the Stars ( 1) Station No."
e16,3213,"京阪バス",,"京大桂キャンパス",,"Keihan Bus",,"Kyoto University , Katsura Campus"
e16,3215,"京阪バス",,"京都駅前",,"Keihan Bus",,"Kyoto Station"
e16,3219,"京阪バス",,"桂駅西口",,"Keihan Bus",,"Katsura Station West Railway"
e16,321d,"京阪バス",,"桂坂口",,"Keihan Bus",,"Kei Sakaguchi"
e16,3224,"京阪バス",,"芸大前",,"Keihan Bus",,"Omae Station Arts"
e16,3300,"京阪バス",,"枚方市駅",,"Keihan Bus",,"Station Hirakata"
e16,3c00,"京阪バス",,"阪急高槻",,"Keihan Bus",,"Hankyu Takatsuki"
e16,3c0a,"京阪バス",,"JR高槻駅",,"Keihan Bus",,"JR Takatsuki Station"
e16,3c33,"京阪バス",,"松原","高槻営業所1系統","Keihan Bus",,Matsubara
e16,3c37,"京阪バス",,"辻子",,"Keihan Bus",,Zushi
e16,4715,"京阪バス",,"西大路四条",,"Keihan Bus",,"Nishiōjishijō"
e16,5a33,"京阪京都交通",,"亀岡駅前","亀岡市コミュニティバス","Transportation Keihan Kyoto",,"Kameoka Station"
e1f,1,"大阪市交通局",,"済生会病院前",,"Osaka Municipal Transportation Bureau",,"Previous station Saiseikai Hospital"
e1f,2,"大阪市交通局",,"中津六丁目",,"Osaka Municipal Transportation Bureau",,"Nakatsu 6-chome"
e1f,3,"大阪市交通局",,"十三",,"Osaka Municipal Transportation Bureau",,"Thirty stations"
e1f,4,"大阪市交通局",,"淀川警察署前",,"Osaka Municipal Transportation Bureau",,YodogawaKeisatsushomae
e1f,5,"大阪市交通局",,"野中南二丁目",,"Osaka Municipal Transportation Bureau",,"Nonakaminamini-chōmeeki"
e1f,6,"大阪市交通局",,"野中北一丁目",,"Osaka Municipal Transportation Bureau",,"Nonakakitaichi-chōmeeki"
e1f,7,"大阪市交通局",,"中島公園",,"Osaka Municipal Transportation Bureau",,Nakajima
e1f,8,"大阪市交通局",,"中島西",,"Osaka Municipal Transportation Bureau",,Nakajimanishi
e1f,9,"大阪市交通局",,"東淀川警察署","赤バス西淡路～区役所ルート","Osaka Municipal Transportation Bureau",,"Higashiyodogawa station police"
e1f,a,"大阪市交通局",,"新高野中北一丁目","にいたかのなかきたいっちょうめ","Osaka Municipal Transportation Bureau",,"ShinTakanoNakakitaichi-chōmeeki"
e1f,b,"大阪市交通局",,"玉造二丁目",,"Osaka Municipal Transportation Bureau",,"Chome Station Tamatsukuri"
e1f,c,"大阪市交通局",,"新高野中北二丁目",,"Osaka Municipal Transportation Bureau",,"ShinTakanoNakakitani-chōmeeki"
e1f,d,"大阪市交通局",,"三津屋中一丁目",,"Osaka Municipal Transportation Bureau",,"三津屋中一丁目駅"
e1f,e,"大阪市交通局",,"三津屋小学校",,"Osaka Municipal Transportation Bureau",,"Mitsuya Station Elementary School"
e1f,f,"大阪市交通局",,"三津屋公園",,"Osaka Municipal Transportation Bureau",,"Mitsuya Park"
e1f,10,"大阪市交通局",,"三津屋北三丁目","赤バス区役所～加島駅ルート","Osaka Municipal Transportation Bureau",,"三津屋北三丁目駅"
e1f,11,"大阪市交通局",,"神崎川駅","赤バス区役所～加島駅ルート","Osaka Municipal Transportation Bureau",,"Kanzaki River Station"
e1f,13,"大阪市交通局",,"城東区保健福祉センター分館","赤バス城東ループ","Osaka Municipal Transportation Bureau",,"Health and Welfare Center , Seongdong Branch"
e1f,14,"大阪市交通局",,"元町二丁目","赤バス浪速ループ","Osaka Municipal Transportation Bureau",,"Motomachi -chome"
e1f,15,"大阪市交通局",,"元町三丁目","赤バス浪速ループ","Osaka Municipal Transportation Bureau",,"Motomachi Station Sanchome"
e1f,16,"大阪市交通局",,"浪速区役所","赤バス浪速ループ","Osaka Municipal Transportation Bureau",,"Naniwa ward"
e1f,17,"大阪市交通局",,"木津市場","赤バス浪速ループ","Osaka Municipal Transportation Bureau",,"Kizu Market"
e1f,18,"大阪市交通局",,"今宮戎駅","赤バス浪速ループ","Osaka Municipal Transportation Bureau",,Imamiyaebisu-eki
e1f,19,"大阪市交通局",,"浪速運動広場","赤バス浪速西ループ","Osaka Municipal Transportation Bureau",,"Naniwa campaign Square"
e1f,1a,"大阪市交通局",,"浪速生野病院","赤バス浪速西ループ","Osaka Municipal Transportation Bureau",,"Naniwa station Ikuno Hospital"
e1f,1b,"大阪市交通局",,"十三元今里",,"Osaka Municipal Transportation Bureau",,"Jūsōmotoimazato"
e1f,1c,"大阪市交通局",,"田川通",,"Osaka Municipal Transportation Bureau",,"Tagawa communication"
e1f,1d,"大阪市交通局",,"三津屋",,"Osaka Municipal Transportation Bureau",,Mitsuya
e1f,1e,"大阪市交通局",,"加島東",,"Osaka Municipal Transportation Bureau",,"East and Kashima"
e1f,1f,"大阪市交通局",,"加島",,"Osaka Municipal Transportation Bureau",,Kashima
e1f,20,"大阪市交通局",,"加島西",,"Osaka Municipal Transportation Bureau",,"Kashima West"
e1f,21,"大阪市交通局",,"神崎橋",,"Osaka Municipal Transportation Bureau",,"Kanzaki Bridge"
e1f,22,"大阪市交通局",,"地下鉄中津",,"Osaka Municipal Transportation Bureau",,"Nakatsu Subway"
e1f,23,"大阪市交通局",,"豊崎北",,"Osaka Municipal Transportation Bureau",,"North Station Toyosaki"
e1f,25,"大阪市交通局",,"豊崎神社前",,"Osaka Municipal Transportation Bureau",,"Previous station Toyosaki shrine"
e1f,26,"大阪市交通局",,"本庄西二丁目",,"Osaka Municipal Transportation Bureau",,"Honjōnishini-chōmeeki"
e1f,27,"大阪市交通局",,"天神橋八丁目",,"Osaka Municipal Transportation Bureau",,"Eight -chome Station Tenjinbashi"
e1f,28,"大阪市交通局",,"長柄西",,"Osaka Municipal Transportation Bureau",,Nagaranishi
e1f,29,"大阪市交通局",,"長柄東",,"Osaka Municipal Transportation Bureau",,Nagarahigashi
e1f,2a,"大阪市交通局",,"毛馬橋",,"Osaka Municipal Transportation Bureau",,"Hair bridle bridge"
e1f,2b,"大阪市交通局",,"毛馬町二丁目",,"Osaka Municipal Transportation Bureau",,"Kema -chome station in town"
e1f,2c,"大阪市交通局",,"大東町",,"Osaka Municipal Transportation Bureau",,"Daito -cho"
e1f,2d,"大阪市交通局",,"淀川区役所前",,"Osaka Municipal Transportation Bureau",,"Previous station Yodogawa ward"
e1f,2e,"大阪市交通局",,"十三東",,"Osaka Municipal Transportation Bureau",,"Jūsōhigashi"
e1f,2f,"大阪市交通局",,"木川西二丁目",,"Osaka Municipal Transportation Bureau",,"Kikawanishini-chōmeeki"
e1f,30,"大阪市交通局",,"木川東二丁目",,"Osaka Municipal Transportation Bureau",,"Kikawahigashini-chōmeeki"
e1f,31,"大阪市交通局",,"地下鉄西中島南方",,"Osaka Municipal Transportation Bureau",,"Nishinakajima south metro"
e1f,32,"大阪市交通局",,"西中島一丁目",,"Osaka Municipal Transportation Bureau",,"Chome Station Nishinakajima"
e1f,33,"大阪市交通局",,"長柄橋北詰",,"Osaka Municipal Transportation Bureau",,"Kitazume Station Nagara Bridge"
e1f,34,"大阪市交通局",,"長柄橋南詰",,"Osaka Municipal Transportation Bureau",,"Nagara Bridge filling station south"
e1f,35,"大阪市交通局",,"柴島","くにじま","Osaka Municipal Transportation Bureau",,Kunijima
e1f,36,"大阪市交通局",,"東淡路一丁目",,"Osaka Municipal Transportation Bureau",,"Higashiawajiichi-chōmeeki"
e1f,37,"大阪市交通局",,"菅原",,"Osaka Municipal Transportation Bureau",,Sugawara
e1f,38,"大阪市交通局",,"下新庄",,"Osaka Municipal Transportation Bureau",,"Shimoshinjō"
e1f,39,"大阪市交通局",,"上新庄",,"Osaka Municipal Transportation Bureau",,"Kamishinjō"
e1f,3a,"大阪市交通局",,"上新庄駅北口",,"Osaka Municipal Transportation Bureau",,"Kamishinjō-ekiKitaguchi"
e1f,3b,"大阪市交通局",,"瑞光二丁目",,"Osaka Municipal Transportation Bureau",,"Chome Station Zuiko Corporation"
e1f,3c,"大阪市交通局",,"大阪経大前",,"Osaka Municipal Transportation Bureau",,"Ohmae via Osaka"
e1f,3d,"大阪市交通局",,"瑞光四丁目",,"Osaka Municipal Transportation Bureau",,"Zuiko Corporation Station Yonchome"
e1f,3e,"大阪市交通局",,"江口君堂前",,"Osaka Municipal Transportation Bureau",,"Eguchi-kunDōmae"
e1f,3f,"大阪市交通局",,"江口橋",,"Osaka Municipal Transportation Bureau",,"Eguchi Bridge"
e1f,40,"大阪市交通局",,"井高野南口",,"Osaka Municipal Transportation Bureau",,"Itakanonankōeki"
e1f,41,"大阪市交通局",,"北江口住宅前",,"Osaka Municipal Transportation Bureau",,"Kitaeguchijūtakumaeeki"
e1f,42,"大阪市交通局",,"北江口",,"Osaka Municipal Transportation Bureau",,Kitaeguchi
e1f,43,"大阪市交通局",,"井高野小学校前",,"Osaka Municipal Transportation Bureau",,"Itakanoshōgakkōmaeeki"
e1f,44,"大阪市交通局",,"井高野車庫前",,"Osaka Municipal Transportation Bureau",,"井高野車庫前"
e1f,45,"大阪市交通局",,"上新庄駅前",,"Osaka Municipal Transportation Bureau",,"KamishinjōEkimae"
e1f,46,"大阪市交通局",,"大桐二丁目",,"Osaka Municipal Transportation Bureau",,"Large -chome Station Tung"
e1f,47,"大阪市交通局",,"大桐一丁目",,"Osaka Municipal Transportation Bureau",,"Large -chome Station Tung"
e1f,48,"大阪市交通局",,"豊里小学校前",,"Osaka Municipal Transportation Bureau",,"Previous station Toyosato Elementary School"
e1f,49,"大阪市交通局",,"豊里",,"Osaka Municipal Transportation Bureau",,Toyosato
e1f,4a,"大阪市交通局",,"十三小学校前",,"Osaka Municipal Transportation Bureau",,"Previous station thirty elementary school"
e1f,4b,"大阪市交通局",,"木川栄橋","104号系統","Osaka Municipal Transportation Bureau",,KigawaSakaebashieki
e1f,4c,"大阪市交通局",,"木川東四丁目",,"Osaka Municipal Transportation Bureau",,"Kikawahigashishi-chōmeeki"
e1f,4d,"大阪市交通局",,"西中島六丁目",,"Osaka Municipal Transportation Bureau",,"6-chome Station Nishinakajima"
e1f,4e,"大阪市交通局",,"西中島",,"Osaka Municipal Transportation Bureau",,Nishinakajima
e1f,4f,"大阪市交通局",,"新大阪駅北口",,"Osaka Municipal Transportation Bureau",,"Station Shin-Osaka Station North Exit"
e1f,50,"大阪市交通局",,"センイシティー前",,"Osaka Municipal Transportation Bureau",,"Previous station Sen-"
e1f,51,"大阪市交通局",,"宮原五丁目",,"Osaka Municipal Transportation Bureau",,"5-chome Station Miyahara"
e1f,55,"大阪市交通局",,"北中島小学校前",,"Osaka Municipal Transportation Bureau",,"Kitanakashimashōgakkōmaeeki"
e1f,56,"大阪市交通局",,"東三国井有","ひがしみくにいう","Osaka Municipal Transportation Bureau",,"Kunii have three stations east"
e1f,57,"大阪市交通局",,"十八条一丁目",,"Osaka Municipal Transportation Bureau",,"Article chome"
e1f,58,"大阪市交通局",,"榎木橋",,"Osaka Municipal Transportation Bureau",,"Enoki wooden bridge"
e1f,59,"大阪市交通局",,"西中島五丁目",,"Osaka Municipal Transportation Bureau",,"5-chome Station Nishinakajima"
